ACTIVE,FirstName,LastName,Subcode,Email,Password,ACCOUNT USED,Event Date,Event Name,Prof Name,Prof Email,936445
Yes,Cert,Student,usjixtedkigyus,certstudent+46@tophat.com,tophat46,yes,1/17/2018,Liberty Certification,Emily Page,,
Yes,Cert,Student,usjixtedkigyus,certstudent+47@tophat.com,tophat47,yes,1/17/2018,Liberty Certification,Rich Jaidin,,
Yes,Cert,Student,usjixtedkigyus,certstudent+48@tophat.com,tophat48,yes,1/17/2018,Liberty Certification,John Harrichand,,
Yes,Cert,Student,usjixtedkigyus,certstudent+49@tophat.com,tophat49,yes,1/17/2018,Liberty Certification,Caroll Bailey,,
Yes,Cert,Student,usjixtedkigyus,certstudent+50@tophat.com,tophat50,yes,1/17/2018,Liberty Certification,Nina Shenkle,,
Yes,Cert,Student,usjixtedkigyus,certstudent+51@tophat.com,tophat51,yes,1/17/2018,Liberty Certification,Caroline Dunmire,,
Yes,Cert,Student,usjixtedkigyus,certstudent+52@tophat.com,tophat52,yes,1/17/2018,Liberty Certification,Peter Orginber,,
Yes,Cert,Student,usjixtedkigyus,certstudent+53@tophat.com,tophat53,yes,1/17/2018,Liberty Certification,Ted Whitney,,
Yes,Cert,Student,usjixtedkigyus,certstudent+54@tophat.com,tophat54,yes,1/17/2018,Liberty Certification,Eric Thomas,,
Yes,Cert,Student,usjixtedkigyus,certstudent+55@tophat.com,tophat55,yes,1/17/2018,Liberty Certification,Bethany Lyle,,
Yes,Cert,Student,usjixtedkigyus,certstudent+56@tophat.com,tophat56,yes,1/17/2018,Liberty Certification,Adebukola Adebayo,,
Yes,Cert,Student,usjixtedkigyus,certstudent+57@tophat.com,tophat57,yes,1/17/2018,Liberty Certification,Olivia Steele,,
Yes,Cert,Student,usjixtedkigyus,certstudent+58@tophat.com,tophat58,yes,1/17/2018,Liberty Certification,Nicole Adams,,
Yes,Cert,Student,usjixtedkigyus,certstudent+59@tophat.com,tophat59,yes,1/17/2018,Liberty Certification,Jordan Tilals,,
Yes,Cert,Student,usjixtedkigyus,certstudent+60@tophat.com,tophat60,yes,1/17/2018,Liberty Certification,Gary Brooks,,
Yes,Cert,Student,usjixtedkigyus,certstudent+61@tophat.com,tophat61,yes,1/17/2018,Liberty Certification,Rachel Liverman,,
Yes,Cert,Student,usjixtedkigyus,certstudent+62@tophat.com,tophat62,yes,1/17/2018,Liberty Certification,Sola Babtunde,,
Yes,Cert,Student,usjixtedkigyus,certstudent+63@tophat.com,tophat63,yes,1/17/2018,Liberty Certification,Gaylen Leverett,,
Yes,Cert,Student,usjixtedkigyus,certstudent+64@tophat.com,tophat64,yes,1/17/2018,Liberty Certification,Monica Parson,,
Yes,Cert,Student,usjixtedkigyus,certstudent+65@tophat.com,tophat65,yes,1/17/2018,Liberty Certification,Suzanne Caruso,,
Yes,Cert,Student,usjixtedkigyus,certstudent+66@tophat.com,tophat66,yes,1/17/2018,Liberty Certification,Steve Vandergriff,,
Yes,Cert,Student,usjixtedkigyus,certstudent+67@tophat.com,tophat67,No,1/17/2018,Liberty Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+68@tophat.com,tophat68,No,1/17/2018,Liberty Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+69@tophat.com,tophat69,No,1/17/2018,Liberty Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+70@tophat.com,tophat70,No,1/17/2018,Liberty Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+71@tophat.com,tophat71,No,1/17/2018,Liberty Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+72@tophat.com,tophat72,No,1/17/2018,Liberty Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+73@tophat.com,tophat73,No,1/17/2018,Liberty Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+74@tophat.com,tophat74,No,1/17/2018,Liberty Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+75@tophat.com,tophat75,No,1/17/2018,Liberty Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+76@tophat.com,tophat76,No,1/17/2018,Liberty Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+77@tophat.com,tophat77,No,1/17/2018,Liberty Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+78@tophat.com,tophat78,No,1/17/2018,Liberty Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+79@tophat.com,tophat79,No,1/17/2018,Liberty Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+80@tophat.com,tophat80,No,1/17/2018,Liberty Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+81@tophat.com,tophat81,No,1/17/2018,Liberty Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+82@tophat.com,tophat82,yes,,Cailyn 220361,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+83@tophat.com,tophat83,yes,2/12/2018,Jay Meloff Ticket - Missou - Kansas,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+84@tophat.com,tophat84,yes,2/12/2018,Jay Meloff Ticket - Missou - Kansas,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+85@tophat.com,tophat85,yes,2/12/2018,Jay Meloff Ticket - Missou - Kansas,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+86@tophat.com,tophat86,yes,2/12/2018,Jay Meloff Ticket - Missou - Kansas,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+87@tophat.com,tophat87,yes,2/12/2018,Jay Meloff Ticket - Missou - Kansas,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+88@tophat.com,tophat88,yes,2/12/2018,Jay Meloff Ticket - Missou - Kansas,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+89@tophat.com,tophat89,yes,2/12/2018,Jay Meloff Ticket - Missou - Kansas,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+90@tophat.com,tophat90,yes,2/12/2018,Jay Meloff Ticket - Missou - Kansas,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+91@tophat.com,tophat91,yes,2/12/2018,Jay Meloff Ticket - Missou - Kansas,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+92@tophat.com,tophat92,yes,2/12/2018,Jay Meloff Ticket - Missou - Kansas,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+93@tophat.com,tophat93,yes,2/12/2018,Jay Meloff Ticket - Missou - Kansas,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+94@tophat.com,tophat94,yes,2/12/2018,Jay Meloff Ticket - Missou - Kansas,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+95@tophat.com,tophat95,yes,2/12/2018,Jay Meloff Ticket - Missou - Kansas,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+96@tophat.com,tophat96,yes,2/12/2018,Jay Meloff Ticket - Missou - Kansas,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+97@tophat.com,tophat97,yes,2/12/2018,Jay Meloff Ticket - Missou - Kansas,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+98@tophat.com,tophat98,yes,2/12/2018,Jay Meloff Ticket - Missou - Kansas,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+99@tophat.com,tophat99,yes,2/12/2018,Jay Meloff Ticket - Missou - Kansas,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+100@tophat.com,tophat100,yes,2/12/2018,Jay Meloff Ticket - Missou - Kansas,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+101@tophat.com,tophat101,yes,2/12/2018,Jay Meloff Ticket - Missou - Kansas,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+102@tophat.com,tophat102,yes,2/12/2018,Jay Meloff Ticket - Missou - Kansas,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+103@tophat.com,tophat103,yes,2/16/2018,Loyola Certificaiton,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+104@tophat.com,tophat104,yes,2/16/2018,Loyola Certificaiton,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+105@tophat.com,tophat105,yes,2/16/2018,Loyola Certificaiton,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+106@tophat.com,tophat106,yes,2/16/2018,Loyola Certificaiton,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+107@tophat.com,tophat107,yes,2/16/2018,Loyola Certificaiton,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+108@tophat.com,tophat108,yes,2/16/2018,Loyola Certificaiton,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+109@tophat.com,tophat109,yes,2/16/2018,Loyola Certificaiton,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+110@tophat.com,tophat110,yes,2/16/2018,Loyola Certificaiton,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+111@tophat.com,tophat111,yes,2/16/2018,Loyola Certificaiton,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+112@tophat.com,tophat112,yes,2/16/2018,Loyola Certificaiton,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+113@tophat.com,tophat113,yes,,Case 229424 - Jay Meloff Prof Demo,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+114@tophat.com,tophat114,yes,,Case 229424 - Jay Meloff Prof Demo,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+115@tophat.com,tophat115,yes,,Case 229424 - Jay Meloff Prof Demo,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+116@tophat.com,tophat116,yes,,Case 229424 - Jay Meloff Prof Demo,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+117@tophat.com,tophat117,yes,,Case 229424 - Jay Meloff Prof Demo,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+118@tophat.com,tophat118,yes,,Case 229424 - Jay Meloff Prof Demo,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+119@tophat.com,tophat119,yes,,Case 229424 - Jay Meloff Prof Demo,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+120@tophat.com,tophat120,yes,,Case 229424 - Jay Meloff Prof Demo,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+121@tophat.com,tophat121,yes,,Case 229424 - Jay Meloff Prof Demo,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+122@tophat.com,tophat122,yes,,Case 229424 - Jay Meloff Prof Demo,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+123@tophat.com,tophat123,No,,,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+124@tophat.com,tophat124,No,,,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+125@tophat.com,tophat125,No,,,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+126@tophat.com,tophat126,No,,,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+127@tophat.com,tophat127,No,,,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+128@tophat.com,tophat128,No,,,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+129@tophat.com,tophat129,yes,1/18/2018,Universita’ degli studi di Padova,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+130@tophat.com,tophat130,yes,1/18/2018,Universita’ degli studi di Padova,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+131@tophat.com,tophat131,yes,1/18/2018,Universita’ degli studi di Padova,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+132@tophat.com,tophat132,yes,1/18/2018,Universita’ degli studi di Padova,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+133@tophat.com,tophat133,yes,1/18/2018,Universita’ degli studi di Padova,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+134@tophat.com,tophat134,yes,1/18/2018,Universita’ degli studi di Padova,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+135@tophat.com,tophat135,yes,1/18/2018,Universita’ degli studi di Padova,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+136@tophat.com,tophat136,yes,1/18/2018,Universita’ degli studi di Padova,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+137@tophat.com,tophat137,yes,1/18/2018,Universita’ degli studi di Padova,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+138@tophat.com,tophat138,yes,1/18/2018,Universita’ degli studi di Padova,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+139@tophat.com,tophat139,yes,1/18/2018,Universita’ degli studi di Padova,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+140@tophat.com,tophat140,yes,1/18/2018,Universita’ degli studi di Padova,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+141@tophat.com,tophat141,yes,1/18/2018,Universita’ degli studi di Padova,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+142@tophat.com,tophat142,yes,1/18/2018,Universita’ degli studi di Padova,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+143@tophat.com,tophat143,yes,1/18/2018,Universita’ degli studi di Padova,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+144@tophat.com,tophat144,yes,1/18/2018,Universita’ degli studi di Padova,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+145@tophat.com,tophat145,yes,1/18/2018,Universita’ degli studi di Padova,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+146@tophat.com,tophat146,yes,1/18/2018,Universita’ degli studi di Padova,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+147@tophat.com,tophat147,yes,1/18/2018,Universita’ degli studi di Padova,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+148@tophat.com,tophat148,yes,1/18/2018,Universita’ degli studi di Padova,,,
yes,Cert,Student,usjixtedkigyus,certstudent+149@tophat.com,tophat149,yes,3/16/2018,UNR Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+150@tophat.com,tophat150,yes,3/16/2018,UNR Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+151@tophat.com,tophat151,yes,3/16/2018,UNR Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+152@tophat.com,tophat152,yes,3/16/2018,UNR Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+153@tophat.com,tophat153,yes,3/16/2018,UNR Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+154@tophat.com,tophat154,yes,3/16/2018,UNR Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+155@tophat.com,tophat155,yes,3/16/2018,UNR Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+156@tophat.com,tophat156,yes,3/16/2018,UNR Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+157@tophat.com,tophat157,yes,3/16/2018,UNR Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+158@tophat.com,tophat158,yes,3/16/2018,UNR Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+159@tophat.com,tophat159,yes,3/16/2018,UNR Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+160@tophat.com,tophat160,yes,3/16/2018,UNR Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+161@tophat.com,tophat161,yes,3/16/2018,UNR Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+162@tophat.com,tophat162,yes,3/16/2018,UNR Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+163@tophat.com,tophat163,yes,3/16/2018,UNR Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+164@tophat.com,tophat164,yes,3/16/2018,UNR Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+165@tophat.com,tophat165,yes,3/16/2018,UNR Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+166@tophat.com,tophat166,yes,3/16/2018,UNR Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+167@tophat.com,tophat167,yes,3/16/2018,UNR Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+168@tophat.com,tophat168,yes,3/16/2018,UNR Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+169@tophat.com,tophat169,yes,3/27/2018,,,,
yes,Cert,Student,usjixtedkigyus,certstudent+170@tophat.com,tophat170,yes,3/27/2018,,,,
yes,Cert,Student,usjixtedkigyus,certstudent+171@tophat.com,tophat171,yes,3/27/2018,,,,
yes,Cert,Student,usjixtedkigyus,certstudent+172@tophat.com,tophat172,yes,3/27/2018,,,,
yes,Cert,Student,usjixtedkigyus,certstudent+173@tophat.com,tophat173,yes,3/27/2018,,,,
yes,Cert,Student,usjixtedkigyus,certstudent+174@tophat.com,tophat174,yes,3/27/2018,,,,
yes,Cert,Student,usjixtedkigyus,certstudent+175@tophat.com,tophat175,yes,3/27/2018,,,,
yes,Cert,Student,usjixtedkigyus,certstudent+176@tophat.com,tophat176,yes,3/27/2018,,,,
yes,Cert,Student,usjixtedkigyus,certstudent+177@tophat.com,tophat177,yes,3/27/2018,,,,
yes,Cert,Student,usjixtedkigyus,certstudent+178@tophat.com,tophat178,yes,3/27/2018,,,,
yes,Cert,Student,usjixtedkigyus,certstudent+179@tophat.com,tophat179,yes,3/27/2018,,,,
yes,Cert,Student,usjixtedkigyus,certstudent+180@tophat.com,tophat180,yes,3/27/2018,,,,
yes,Cert,Student,usjixtedkigyus,certstudent+181@tophat.com,tophat181,yes,3/27/2018,,,,
yes,Cert,Student,usjixtedkigyus,certstudent+182@tophat.com,tophat182,yes,3/27/2018,,,,
yes,Cert,Student,usjixtedkigyus,certstudent+183@tophat.com,tophat183,yes,3/27/2018,,,,
yes,Cert,Student,usjixtedkigyus,certstudent+184@tophat.com,tophat184,yes,3/27/2018,,,,
yes,Cert,Student,usjixtedkigyus,certstudent+185@tophat.com,tophat185,yes,3/27/2018,,,,
yes,Cert,Student,usjixtedkigyus,certstudent+186@tophat.com,tophat186,yes,3/27/2018,,,,
yes,Cert,Student,usjixtedkigyus,certstudent+187@tophat.com,tophat187,yes,3/27/2018,,,,
yes,Cert,Student,usjixtedkigyus,certstudent+188@tophat.com,tophat188,yes,3/27/2018,,,,
yes,Cert,Student,usjixtedkigyus,certstudent+189@tophat.com,tophat189,yes,3/27/2018,,,,
yes,Cert,Student,usjixtedkigyus,certstudent+190@tophat.com,tophat190,yes,3/27/2018,IU & Kelley Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+191@tophat.com,tophat191,yes,3/27/2018,IU & Kelley Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+192@tophat.com,tophat192,yes,3/27/2018,IU & Kelley Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+193@tophat.com,tophat193,yes,3/27/2018,IU & Kelley Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+194@tophat.com,tophat194,yes,3/27/2018,IU & Kelley Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+195@tophat.com,tophat195,yes,3/27/2018,IU & Kelley Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+196@tophat.com,tophat196,yes,3/27/2018,IU & Kelley Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+197@tophat.com,tophat197,yes,3/27/2018,IU & Kelley Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+198@tophat.com,tophat198,yes,3/27/2018,IU & Kelley Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+199@tophat.com,tophat199,yes,3/27/2018,IU & Kelley Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+200@tophat.com,tophat200,yes,3/27/2018,IU & Kelley Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+201@tophat.com,tophat201,yes,3/27/2018,IU & Kelley Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+202@tophat.com,tophat202,yes,3/27/2018,IU & Kelley Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+203@tophat.com,tophat203,yes,3/27/2018,IU & Kelley Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+204@tophat.com,tophat204,yes,3/27/2018,IU & Kelley Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+205@tophat.com,tophat205,yes,3/27/2018,IU & Kelley Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+206@tophat.com,tophat206,yes,3/27/2018,IU & Kelley Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+207@tophat.com,tophat207,yes,3/27/2018,IU & Kelley Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+208@tophat.com,tophat208,yes,3/27/2018,IU & Kelley Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+209@tophat.com,tophat209,yes,3/27/2018,IU & Kelley Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+210@tophat.com,tophat210,yes,,,,,
yes,Cert,Student,usjixtedkigyus,certstudent+211@tophat.com,tophat211,yes,,,,,
yes,Cert,Student,usjixtedkigyus,certstudent+212@tophat.com,tophat212,yes,,,,,
,Cert,Student,usjixtedkigyus,certstudent+213@tophat.com,tophat213,yes,,,,,
,Cert,Student,usjixtedkigyus,certstudent+214@tophat.com,tophat214,yes,,,,,
,Cert,Student,usjixtedkigyus,certstudent+215@tophat.com,tophat215,yes,,,,,
,Cert,Student,usjixtedkigyus,certstudent+216@tophat.com,tophat216,yes,,,,,
,Cert,Student,usjixtedkigyus,certstudent+217@tophat.com,tophat217,yes,,,,,
,Cert,Student,usjixtedkigyus,certstudent+218@tophat.com,tophat218,yes,,,,,
,Cert,Student,usjixtedkigyus,certstudent+219@tophat.com,tophat219,yes,,,,,
,Cert,Student,usjixtedkigyus,certstudent+220@tophat.com,tophat220,yes,,,,,
,Cert,Student,usjixtedkigyus,certstudent+221@tophat.com,tophat221,yes,,,,,
,Cert,Student,usjixtedkigyus,certstudent+222@tophat.com,tophat222,yes,,,,,
,Cert,Student,usjixtedkigyus,certstudent+223@tophat.com,tophat223,yes,,,,,
,Cert,Student,usjixtedkigyus,certstudent+224@tophat.com,tophat224,yes,,,,,
,Cert,Student,usjixtedkigyus,certstudent+225@tophat.com,tophat225,yes,,,,,
,Cert,Student,usjixtedkigyus,certstudent+226@tophat.com,tophat226,yes,,,,,
